epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.802,1.54941,2.14952,1.1698,0.0074,1,0.89511,0.4517,1.36406,3.19256,1.12664,0.00048,0.00048,0.00048
2,425.443,1.41609,1.36103,1.15147,0.89147,0.33784,0.83808,0.43338,1.47354,2.51572,1.26202,0.00093149,0.00093149,0.00093149
3,664.079,1.38582,1.15275,1.1793,0.78159,0.92342,0.88969,0.51264,1.38376,2.02305,1.23736,0.00133348,0.00133348,0.00133348
4,972.663,1.40436,1.12602,1.22842,0.94837,0.94595,0.94244,0.54535,1.572,1.38175,1.59106,0.00168597,0.00168597,0.00168597
5,2736.73,1.33538,1.12279,1.17337,0.93633,0.94595,0.94489,0.54344,1.57663,1.20335,1.75625,0.001604,0.001604,0.001604
6,3007.86,1.38271,1.02155,1.19604,0.94017,0.94144,0.92764,0.53721,1.55977,1.05564,1.55454,0.001505,0.001505,0.001505
7,3384.74,1.39069,0.99934,1.20111,0.93689,0.93618,0.94335,0.53842,1.58022,0.96072,1.574,0.001406,0.001406,0.001406
8,3743.55,1.37728,0.94113,1.19783,0.93714,0.94595,0.94276,0.53918,1.52122,0.95585,1.40354,0.001307,0.001307,0.001307
9,4118.58,1.3369,0.9006,1.17934,0.94613,0.9493,0.93818,0.52138,1.62173,0.92192,1.57379,0.001208,0.001208,0.001208
10,4449.58,1.30394,0.83907,1.17079,0.93675,0.93694,0.93516,0.5338,1.52381,0.92582,1.52836,0.001109,0.001109,0.001109
11,4621.48,1.30129,0.87342,1.19008,0.9182,0.91892,0.89459,0.50343,1.49868,1.06888,1.52318,0.00101,0.00101,0.00101
12,4775.82,1.28645,0.8449,1.18273,0.93422,0.92793,0.93787,0.55496,1.49234,0.8706,1.49402,0.000911,0.000911,0.000911
13,4926.24,1.28165,0.81706,1.17475,0.94909,0.95045,0.95516,0.53406,1.54358,0.82518,1.47459,0.000812,0.000812,0.000812
14,5152.08,1.27283,0.80409,1.18159,0.9437,0.94595,0.95119,0.55593,1.51049,0.85582,1.46786,0.000713,0.000713,0.000713
15,5318.33,1.27404,0.78017,1.16983,0.94483,0.94595,0.95039,0.55951,1.52502,0.81084,1.49133,0.000614,0.000614,0.000614
16,5470.76,1.26163,0.76257,1.17599,0.94963,0.94144,0.95886,0.56802,1.50464,0.77648,1.4565,0.000515,0.000515,0.000515
17,5690.92,1.24894,0.75162,1.16884,0.93973,0.93694,0.9565,0.55908,1.46334,0.81225,1.42846,0.000416,0.000416,0.000416
18,5973.13,1.23965,0.72454,1.16459,0.94758,0.94144,0.96289,0.56259,1.49313,0.82324,1.37756,0.000317,0.000317,0.000317
19,6122.63,1.23297,0.72475,1.16132,0.94433,0.94595,0.95984,0.57124,1.48633,0.80219,1.43255,0.000218,0.000218,0.000218
20,6288.03,1.22424,0.70738,1.16489,0.94431,0.94595,0.95859,0.57643,1.47352,0.76057,1.41631,0.000119,0.000119,0.000119
